epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,5560.02,2.09677,1.16217,0.82081,0.73598,0.46203,0.54627,0.2362,2.15092,1.25982,0.82308,3.763e-05,3.763e-05,3.763e-05
128,5602.2,2.10276,1.18065,0.82765,0.73397,0.46104,0.54476,0.23635,2.14303,1.2641,0.82263,3.7135e-05,3.7135e-05,3.7135e-05
129,5648.74,2.21965,1.23137,0.8225,0.73317,0.46005,0.54347,0.23608,2.14228,1.26502,0.82287,3.664e-05,3.664e-05,3.664e-05
130,5691.19,2.12293,1.18634,0.83096,0.73395,0.46154,0.54512,0.23631,2.14157,1.25989,0.82228,3.6145e-05,3.6145e-05,3.6145e-05
131,5738.22,2.1966,1.19043,0.8288,0.73371,0.46104,0.54454,0.23623,2.14448,1.25875,0.82258,3.565e-05,3.565e-05,3.565e-05
132,5784.08,2.1751,1.18576,0.83195,0.73253,0.46005,0.54301,0.23561,2.14442,1.2613,0.82252,3.5155e-05,3.5155e-05,3.5155e-05
133,5827.77,2.0728,1.15496,0.82208,0.73477,0.46166,0.54517,0.23594,2.14868,1.26062,0.82337,3.466e-05,3.466e-05,3.466e-05
134,5873.1,2.15318,1.16828,0.82947,0.73591,0.46216,0.54606,0.23566,2.14804,1.25989,0.82315,3.4165e-05,3.4165e-05,3.4165e-05
135,5920.3,2.26953,1.1784,0.8051,0.73494,0.4612,0.54463,0.23557,2.14656,1.26157,0.82353,3.367e-05,3.367e-05,3.367e-05
136,5962.55,2.03815,1.18546,0.83604,0.73348,0.4603,0.54432,0.23492,2.14405,1.26223,0.82324,3.3175e-05,3.3175e-05,3.3175e-05
137,6009.93,2.22455,1.18775,0.83213,0.73205,0.46005,0.54428,0.2357,2.13842,1.2613,0.82225,3.268e-05,3.268e-05,3.268e-05
138,6050.64,2.07123,1.21907,0.84171,0.73569,0.46093,0.54535,0.23647,2.13839,1.2619,0.82264,3.2185e-05,3.2185e-05,3.2185e-05
139,6090.72,2.06039,1.20162,0.84223,0.73524,0.46054,0.54537,0.23686,2.13799,1.26574,0.82296,3.169e-05,3.169e-05,3.169e-05
140,6136.93,2.17963,1.17828,0.82551,0.73417,0.4608,0.54451,0.23564,2.13932,1.26454,0.82289,3.1195e-05,3.1195e-05,3.1195e-05
141,6182.96,2.15472,1.1678,0.81022,0.73336,0.46018,0.54388,0.23524,2.14087,1.26224,0.82281,3.07e-05,3.07e-05,3.07e-05
142,6229.2,2.2025,1.14515,0.80411,0.73351,0.46092,0.54395,0.23509,2.14591,1.26238,0.82324,3.0205e-05,3.0205e-05,3.0205e-05
143,6277.14,2.17808,1.17039,0.82166,0.73529,0.46154,0.54453,0.23525,2.14845,1.26411,0.82384,2.971e-05,2.971e-05,2.971e-05
144,6321.28,2.13817,1.17604,0.8167,0.73521,0.46191,0.54477,0.23549,2.14735,1.26143,0.82329,2.9215e-05,2.9215e-05,2.9215e-05
145,6363.45,2.12477,1.20216,0.83348,0.73639,0.46258,0.54568,0.23554,2.15141,1.26,0.82341,2.872e-05,2.872e-05,2.872e-05
146,6411.95,2.23912,1.178,0.81763,0.73615,0.4624,0.54572,0.23513,2.15271,1.25853,0.82332,2.8225e-05,2.8225e-05,2.8225e-05
147,6458.05,2.14341,1.22743,0.83201,0.7358,0.46221,0.54524,0.23525,2.15456,1.26186,0.82349,2.773e-05,2.773e-05,2.773e-05
148,6496.87,2.07486,1.22763,0.84569,0.73457,0.46203,0.54607,0.23582,2.15039,1.26057,0.82303,2.7235e-05,2.7235e-05,2.7235e-05
149,6542.84,2.05772,1.22968,0.84975,0.73496,0.46203,0.54627,0.23614,2.14826,1.26254,0.8226,2.674e-05,2.674e-05,2.674e-05
150,6588.36,2.14379,1.17046,0.81717,0.73329,0.4608,0.54478,0.23481,2.14916,1.26108,0.82261,2.6245e-05,2.6245e-05,2.6245e-05
151,6631.5,2.08038,1.17971,0.8241,0.73397,0.46096,0.54435,0.23491,2.1472,1.26265,0.82278,2.575e-05,2.575e-05,2.575e-05
152,6673.18,2.04586,1.23323,0.84588,0.73449,0.46118,0.54474,0.23576,2.13948,1.26434,0.82183,2.5255e-05,2.5255e-05,2.5255e-05
153,6718.15,2.15482,1.16622,0.81119,0.73489,0.46117,0.5453,0.23656,2.13885,1.26398,0.82188,2.476e-05,2.476e-05,2.476e-05
154,6760.45,2.01495,1.18332,0.84592,0.73496,0.46117,0.54485,0.23631,2.1396,1.26092,0.82159,2.4265e-05,2.4265e-05,2.4265e-05
155,6806.73,2.1517,1.17662,0.82202,0.73485,0.46055,0.54367,0.23578,2.13443,1.26575,0.82154,2.377e-05,2.377e-05,2.377e-05
156,6849.11,2.08258,1.31666,0.84491,0.73567,0.46141,0.54437,0.23589,2.13119,1.26356,0.82114,2.3275e-05,2.3275e-05,2.3275e-05
157,6892.63,2.1263,1.22335,0.84072,0.73437,0.46166,0.54457,0.23628,2.13141,1.25994,0.82068,2.278e-05,2.278e-05,2.278e-05
158,6939.66,2.13582,1.15572,0.81035,0.73657,0.46253,0.54592,0.23564,2.13269,1.26207,0.82074,2.2285e-05,2.2285e-05,2.2285e-05
159,6983.14,2.10126,1.22175,0.8428,0.73742,0.46366,0.54698,0.23576,2.13922,1.26098,0.82152,2.179e-05,2.179e-05,2.179e-05
160,7028.66,2.14011,1.18254,0.81228,0.738,0.4629,0.54684,0.23527,2.13962,1.26366,0.82141,2.1295e-05,2.1295e-05,2.1295e-05
161,7077.87,2.2562,1.18341,0.80511,0.73784,0.46432,0.54795,0.23599,2.14204,1.2594,0.82119,2.08e-05,2.08e-05,2.08e-05
162,7126.68,2.16059,1.18614,0.81832,0.73796,0.46414,0.54817,0.23592,2.14676,1.25711,0.82131,2.0305e-05,2.0305e-05,2.0305e-05
163,7210.05,2.15178,1.16827,0.81486,0.73823,0.46414,0.54711,0.23579,2.14979,1.25803,0.82178,1.981e-05,1.981e-05,1.981e-05
164,7267.19,2.12349,1.21915,0.84564,0.73885,0.46426,0.54743,0.23619,2.1553,1.25952,0.82289,1.9315e-05,1.9315e-05,1.9315e-05
165,7311.69,2.13845,1.22541,0.83126,0.73639,0.46216,0.54674,0.23737,2.14749,1.25929,0.8218,1.882e-05,1.882e-05,1.882e-05
166,7359.46,2.21298,1.20749,0.83145,0.7351,0.46179,0.54528,0.23686,2.14759,1.26109,0.82198,1.8325e-05,1.8325e-05,1.8325e-05
167,7438.75,2.21673,1.20189,0.82927,0.73533,0.46178,0.54546,0.23575,2.15542,1.25859,0.82254,1.783e-05,1.783e-05,1.783e-05
168,7516.78,2.1684,1.16924,0.8145,0.73617,0.46216,0.54557,0.23542,2.15618,1.26079,0.82283,1.7335e-05,1.7335e-05,1.7335e-05
169,7577.07,2.17456,1.17335,0.8152,0.73679,0.46284,0.54628,0.23497,2.15771,1.26099,0.82277,1.684e-05,1.684e-05,1.684e-05
170,7649.28,2.03651,1.19777,0.82809,0.7352,0.46253,0.54515,0.23539,2.15251,1.26167,0.82222,1.6345e-05,1.6345e-05,1.6345e-05
